Stock_Code,Close_Price
A3D.AX,0.07500000298023224
ACP.AX,0.017999999225139618
ANL.AX,0.0010000000474974513
ATR.AX,0.8199999928474426
ATU.AX,0.004530000034719706
AYI.AX,0.0010000000474974513
BOL.AX,0.14000000059604645
BRE.AX,2.8299999237060547
CBA.AX,135.38999938964844
CCO.AX,0.009999999776482582
CE1.AX,0.008999999612569809
CML.AX,0.28648999333381653
COV.AX,0.3799999952316284
CSE.AX,0.1550000011920929
DNK.AX,0.4099999964237213
DRO.AX,1.3650000095367432
DXN.AX,0.07900000363588333
EGL.AX,0.4099999964237213
EQE.AX,0.05000000074505806
EQT.AX,31.649999618530273
EVE.AX,0.0010000000474974513
EVO.AX,0.8149999976158142
FGG.AX,1.3600000143051147
FHE.AX,0.2199999988079071
FMR.AX,0.17000000178813934
FPH.AX,32.11000061035156
FSF.AX,4.650000095367432
GDG.AX,2.8299999237060547
GMG.AX,36.9900016784668
GNC.AX,9.199999809265137
GO2.AX,0.671999990940094
GUL.AX,0.06499999761581421
HCF.AX,1.0
HMC.AX,8.199999809265137
HUB.AX,58.369998931884766
HYT.AX,0.05400000140070915
IEQ.AX,0.03999999910593033
IFT.AX,11.40999984741211
IPC.AX,1.4500000476837158
JAT.AX,0.7900000214576721
KDY.AX,0.027000000700354576
KLL.AX,7.275000095367432
KTG.AX,0.36250001192092896
LAT.AX,0.13500000536441803
LAW.AX,0.004999999888241291
LKO.AX,1.0
LTP.AX,1.6649999618530273
M8S.AX,0.008999999612569809
MDC.AX,6.599999904632568
MFF.AX,3.8399999141693115
MMR.AX,0.004000000189989805
MYS.AX,3.6700000762939453
NAB.AX,37.349998474121094
NCR.AX,0.004999999888241291
NGI.AX,1.7400000095367432
NVQ.AX,0.02199999988079071
OIL.AX,0.19499999284744263
PGF.AX,2.2799999713897705
PME.AX,178.25
PO3.AX,0.2199999988079071
PRL.AX,0.04100000113248825
QUB.AX,3.950000047683716
RAN.AX,0.006000000052154064
RC1.AX,0.008999999612569809
RPL.AX,3.609999895095825
RXH.AX,0.028999999165534973
SB2.AX,0.5849999785423279
SSL.AX,9.649999618530273
SUM.AX,0.23499999940395355
TCO.AX,1.649999976158142
TMZ.AX,0.004999999888241291
TNE.AX,23.860000610351562
URW.AX,6.400000095367432
VBC.AX,0.13500000536441803
VGL.AX,2.440000057220459
VIP.AX,0.003000000026077032
VMG.AX,0.0010000000474974513
WAA.AX,0.8999999761581421
WCN.AX,0.019999999552965164
X64.AX,0.5699999928474426
AZ9.AX,0.028999999165534973
BEN.AX,11.649999618530273
GDC.AX,3.2100000381469727
SNL.AX,30.5
WGB.AX,2.2899999618530273
GVF.AX,1.2100000381469727
QRI.AX,1.625
PSQ.AX,1.8049999475479126
PXA.AX,14.800000190734863
ALQ.AX,14.420000076293945
TCF.AX,5.880000114440918
DUI.AX,5.289999961853027
ANZ.AX,30.479999542236328
LSF.AX,3.130000114440918
LGI.AX,2.7899999618530273
PMC.AX,1.4249999523162842
PL8.AX,1.2400000095367432
VG1.AX,2.0399999618530273
KAT.AX,1.1699999570846558
FGX.AX,1.2699999809265137
TRA.AX,4.300000190734863
AMC.AX,16.34000015258789
PBH.AX,0.699999988079071
EZZ.AX,4.53000020980835
RG8.AX,2.140000104904175
AUI.AX,11.010000228881836
LCE.AX,0.7200000286102295
GCI.AX,2.049999952316284
QBE.AX,16.540000915527344
DJW.AX,3.180000066757202
ELS.AX,0.42500001192092896
NWS.AX,40.34000015258789
KSL.AX,1.0199999809265137
AIQ.AX,1.399999976158142
IGNDA.AX,0.800000011920929
TDO.AX,0.07000000029802322
MQG.AX,232.3699951171875
AAC.AX,1.4500000476837158
BGA.AX,5.260000228881836
BWP.AX,3.75
WAR.AX,1.1950000524520874
WBC.AX,31.719999313354492
OFX.AX,2.1600000858306885
ALL.AX,58.599998474121094
GFL.AX,3.2799999713897705
NXT.AX,17.5
KKC.AX,2.299999952316284
COS.AX,0.9449999928474426
MAH.AX,0.32499998807907104
MXT.AX,2.059999942779541
RYD.AX,1.2400000095367432
FRI.AX,0.8349999785423279
RUL.AX,3.0
IAG.AX,7.360000133514404
ORG.AX,10.010000228881836
ORI.AX,18.549999237060547
DXI.AX,2.9000000953674316
TLX.AX,20.729999542236328
GIB.AX,0.03799999877810478
PIC.AX,1.2000000476837158
AUB.AX,30.780000686645508
PNR.AX,0.11500000208616257
VVA.AX,1.3799999952316284
MDR.AX,0.42500001192092896
QOR.AX,0.4099999964237213
GDI.AX,0.6800000071525574
NTU.AX,0.019999999552965164
RF1.AX,3.450000047683716
A2M.AX,6.239999771118164
CDP.AX,4.579999923706055
TLC.AX,5.119999885559082
PGC.AX,0.4449999928474426
SUN.AX,18.09000015258789
GTK.AX,10.489999771118164
CTE.AX,0.800000011920929
WQG.AX,1.6150000095367432
CEN.AX,7.260000228881836
WEB.AX,7.349999904632568
HPI.AX,3.7100000381469727
CAR.AX,37.459999084472656
TOP.AX,0.6449999809265137
CDA.AX,16.1200008392334
DXB.AX,0.375
SVM.AX,0.7149999737739563
S32.AX,3.7699999809265137
APZ.AX,2.299999952316284
PNI.AX,18.049999237060547
DBI.AX,3.2300000190734863
GNP.AX,2.450000047683716
AMH.AX,1.1449999809265137
NWL.AX,24.860000610351562
PNC.AX,0.5350000262260437
BGP.AX,3.940000057220459
ARG.AX,8.949999809265137
PRO.AX,0.6499999761581421
PEX.AX,0.10999999940395355
VIG.AX,0.029999999329447746
MOT.AX,2.1700000762939453
IPL.AX,3.109999895095825
LSX.AX,0.5099999904632568
