Stock_Code,Price
A3D.AX,0.0700000002980232
ACP.AX,0.0219999998807907
ATR.AX,0.7699999809265137
BOL.AX,0.1500000059604644
BRE.AX,3.259999990463257
CBA.AX,121.2588577270508
CCO.AX,0.0130000002682209
CE1.AX,0.0036999892909079
COV.AX,0.324999988079071
DRO.AX,1.350000023841858
DXN.AX,0.0469999983906745
EGL.AX,0.3100000023841858
EQT.AX,32.50704574584961
EVO.AX,0.7022467851638794
FGG.AX,1.284863352775574
FHE.AX,0.4699999988079071
FPH.AX,28.58872985839844
FSF.AX,3.67913818359375
GDG.AX,2.331428527832031
GMG.AX,34.70965576171875
GNC.AX,9.084481239318848
HMC.AX,7.415341377258301
HUB.AX,44.33357238769531
HYT.AX,0.0309999994933605
IFT.AX,10.25765800476074
JAT.AX,0.6650000214576721
LTP.AX,0.6399999856948853
MFF.AX,3.574329853057861
MYS.AX,3.616915702819824
NAB.AX,34.0603141784668
NGI.AX,2.072654724121094
OIL.AX,0.135000005364418
PGF.AX,2.252770185470581
PME.AX,122.7422180175781
QUB.AX,3.64114785194397
RC1.AX,0.0260000005364418
RPL.AX,3.300236225128174
SUM.AX,0.2549999952316284
TNE.AX,18.03000068664551
URW.AX,6.650000095367432
VBC.AX,0.1400000005960464
VGL.AX,2.069999933242798
WAA.AX,0.8803260922431946
WCN.AX,0.0189999993890523
BEN.AX,10.7765645980835
GDC.AX,2.065690755844116
SNL.AX,22.74649238586425
WGB.AX,2.220262050628662
GVF.AX,1.149843215942383
QRI.AX,1.566253423690796
PSQ.AX,1.866890072822571
PXA.AX,14.80000019073486
ALQ.AX,14.20440673828125
TCF.AX,5.024462223052979
DUI.AX,4.984550952911377
ANZ.AX,28.04658508300781
LSF.AX,3.117236852645874
LGI.AX,2.986071586608887
PMC.AX,1.395209074020386
PL8.AX,1.183017134666443
VG1.AX,1.904999971389771
KAT.AX,1.199979186058044
FGX.AX,1.138499975204468
TRA.AX,4.23835563659668
AMC.AX,14.99050140380859
PBH.AX,0.5299999713897705
EZZ.AX,1.048364758491516
RG8.AX,2.058786392211914
AUI.AX,10.03662109375
LCE.AX,0.5053437352180481
GCI.AX,1.950838565826416
QBE.AX,17.81131935119629
DJW.AX,2.914303779602051
ELS.AX,0.4950000047683716
NWS.AX,41.76956558227539
KSL.AX,0.9334518909454346
AIQ.AX,1.365304946899414
IGNDA.AX,0.699999988079071
TDO.AX,0.0850000008940696
MQG.AX,191.0513916015625
AAC.AX,1.519999980926514
BGA.AX,4.444931507110596
BWP.AX,3.614201307296753
WAR.AX,1.060603141784668
WBC.AX,26.12957191467285
OFX.AX,2.109999895095825
ALL.AX,45.97000122070312
GFL.AX,3.099999904632568
NXT.AX,17.69000053405762
KKC.AX,2.228387832641602
COS.AX,1.132811784744263
MAH.AX,0.2799705862998962
MXT.AX,1.99465548992157
RYD.AX,1.085686326026917
FRI.AX,0.7608333230018616
RUL.AX,2.700000047683716
IAG.AX,6.264512538909912
ORG.AX,9.952359199523926
ORI.AX,18.09676361083984
DXI.AX,2.94636058807373
TLX.AX,17.88999938964844
GIB.AX,0.0480000004172325
PIC.AX,1.156606435775757
AUB.AX,30.28180313110352
PNR.AX,0.0900000035762786
VVA.AX,1.559999942779541
MDR.AX,0.4399999976158142
QOR.AX,0.4350000023841858
GDI.AX,0.621982753276825
NTU.AX,0.0419999994337558
RF1.AX,3.114896297454834
A2M.AX,7.150000095367432
CDP.AX,4.187556266784668
TLC.AX,5.054134368896484
PGC.AX,0.3799999952316284
SUN.AX,15.79490375518799
GTK.AX,8.930000305175781
CTE.AX,1.04146671295166
WQG.AX,1.480329275131226
CEN.AX,8.324372291564941
WEB.AX,8.829999923706055
HPI.AX,3.21346116065979
CAR.AX,35.34141159057617
TOP.AX,0.6447692513465881
CDA.AX,10.7455005645752
DXB.AX,0.4900000095367431
SVM.AX,0.6499999761581421
S32.AX,3.794711589813232
APZ.AX,1.717977523803711
PNI.AX,12.87271690368652
DBI.AX,2.801368951797486
GNP.AX,1.860816359519958
AMH.AX,1.090133428573608
NWL.AX,20.76278686523438
PNC.AX,0.4650000035762787
BGP.AX,4.125533580780029
ARG.AX,8.515618324279785
PRO.AX,0.9100000262260436
PEX.AX,0.1500000059604644
MOT.AX,2.103690385818481
IPL.AX,2.936709403991699
LSX.AX,0.4449999928474426
WAT.AX,5.178692817687988
CIN.AX,29.33539199829102
SRG.AX,0.8471052646636963
CVL.AX,0.914496123790741
HM1.AX,2.482420444488525
DXC.AX,2.593671560287476
MWY.AX,0.7275744676589966
SHA.AX,2.097126960754395
REA.AX,185.3630981445312
EGH.AX,0.5192577838897705
MEC.AX,1.029999971389771
ACR.AX,0.0780000016093254
MAQ.AX,89.0
TWR.AX,0.7376865744590759
FPC.AX,1.0
LAM.AX,1.0
LPE.AX,0.125
ECP.AX,1.223639488220215
WHC.AX,7.860337257385254
BFG.AX,1.287142872810364
BOQ.AX,5.812946319580078
CU6.AX,5.170000076293945
AII.AX,0.7300000190734863
GSS.AX,0.7300000190734863
CD3.AX,1.388028144836426
GEM.AX,1.186389923095703
MMI.AX,0.0480000004172325
AAP.AX,0.0240000002086162
SEG.AX,0.2239999920129776
MEZ.AX,5.831722736358643
MAU.AX,1.075000047683716
ARF.AX,3.727967739105225
CHW.AX,0.5899999737739563
WHF.AX,5.130000114440918
TTT.AX,0.0920000001788139
SXE.AX,1.557894706726074
BIS.AX,3.757079839706421
NGE.AX,1.139999985694885
SGLLV.AX,6.854835033416748
WTC.AX,97.38739013671876
NWH.AX,2.874787569046021
