Date,Open,High,Low,Close,Adj Close,Volume
2024-06-06,8022.2001953125,8090.2998046875,8022.2001953125,8074.2998046875,8074.2998046875,952375000
2024-06-07,8074.2998046875,8115.10009765625,8074.2998046875,8112.7998046875,8112.7998046875,902266500
2024-06-11,8112.7998046875,8112.7998046875,7986.89990234375,8005.89990234375,8005.89990234375,1156109500
2024-06-12,8005.7998046875,8005.7998046875,7948.2001953125,7963.10009765625,7963.10009765625,1091879700
2024-06-13,7963.10009765625,8029.5,7962.2998046875,8002.5,8002.5,1126887100
2024-06-14,8002.5,8004.2998046875,7968.7998046875,7974.7998046875,7974.7998046875,971622500
2024-06-17,7974.7998046875,7976.89990234375,7941.0,7943.60009765625,7943.60009765625,1032878600
2024-06-18,7943.5,8018.10009765625,7942.60009765625,8015.7998046875,8015.7998046875,1117182500
2024-06-19,8015.7998046875,8026.89990234375,7995.2001953125,8010.5,8010.5,1014360500
2024-06-20,8010.5,8013.0,7995.7998046875,8012.10009765625,8012.10009765625,1280692100
2024-06-21,8012.10009765625,8040.5,7995.5,8039.89990234375,8039.89990234375,2498128600
2024-06-24,8039.89990234375,8040.0,7970.39990234375,7975.10009765625,7975.10009765625,1129917300
2024-06-25,7978.10009765625,8076.89990234375,7978.10009765625,8076.89990234375,8076.89990234375,1128852600
2024-06-26,8076.89990234375,8076.89990234375,7986.39990234375,8022.89990234375,8022.89990234375,1301171500
2024-06-27,8022.89990234375,8022.89990234375,7898.0,8002.7998046875,8002.7998046875,1391341800
2024-06-28,8002.7998046875,8061.89990234375,7998.5,8013.7998046875,8013.7998046875,1447274400
2024-07-01,8013.7998046875,8013.7998046875,7958.2998046875,7992.2998046875,7992.2998046875,927607500
2024-07-02,7992.2998046875,7995.89990234375,7944.39990234375,7959.7001953125,7959.7001953125,1010535000
2024-07-03,7959.7001953125,7989.10009765625,7959.7001953125,7986.10009765625,7986.10009765625,928215000
2024-07-04,7986.10009765625,8082.5,7986.10009765625,8079.2001953125,8079.2001953125,1022610200
2024-07-05,8079.10009765625,8079.10009765625,8055.2001953125,8070.10009765625,8070.10009765625,768458700
2024-07-08,8070.10009765625,8070.10009765625,8008.39990234375,8012.2001953125,8012.2001953125,903195700
2024-07-09,8012.2001953125,8077.10009765625,8012.2001953125,8075.2001953125,8075.2001953125,896271800
2024-07-10,8075.2001953125,8075.2001953125,8025.5,8058.2998046875,8058.2998046875,903051500
2024-07-11,8058.2998046875,8144.2001953125,8058.2998046875,8133.39990234375,8133.39990234375,988170500
2024-07-12,8133.39990234375,8212.599609375,8133.10009765625,8206.099609375,8206.099609375,1048256400
2024-07-15,8206.099609375,8281.400390625,8206.099609375,8262.400390625,8262.400390625,991793600
2024-07-16,8262.400390625,8264.2998046875,8241.099609375,8243.2998046875,8243.2998046875,972456700
2024-07-17,8243.2998046875,8329.5,8243.2998046875,8303.5,8303.5,1043814000
2024-07-18,8303.5,8309.7001953125,8263.5,8272.7001953125,8272.7001953125,1084396900
2024-07-19,8272.7001953125,8272.7001953125,8161.5,8209.2001953125,8209.2001953125,990610800
2024-07-22,8209.2001953125,8209.2001953125,8138.2001953125,8166.39990234375,8166.39990234375,811474100
2024-07-23,8166.39990234375,8229.2998046875,8166.39990234375,8208.599609375,8208.599609375,1116310800
2024-07-24,8208.599609375,8214.599609375,8184.60009765625,8205.5,8205.5,1010784300
2024-07-25,8205.5,8205.5,8094.2998046875,8094.2998046875,8094.2998046875,1146254000
2024-07-26,8094.2998046875,8171.89990234375,8094.2998046875,8153.39990234375,8153.39990234375,1041945000
2024-07-29,8153.39990234375,8235.5,8153.39990234375,8224.2998046875,8224.2998046875,919434900
2024-07-30,8224.2998046875,8224.2998046875,8122.7001953125,8176.60009765625,8176.60009765625,878072500
2024-07-31,8176.60009765625,8320.400390625,8176.2998046875,8320.400390625,8320.400390625,1524301600
2024-08-01,8320.400390625,8375.7998046875,8320.400390625,8343.7998046875,8343.7998046875,970071800
2024-08-02,8343.7998046875,8343.7998046875,8148.5,8170.39990234375,8170.39990234375,1230809900
2024-08-05,8170.39990234375,8170.39990234375,7847.2998046875,7859.39990234375,7859.39990234375,1489001300
2024-08-06,7859.39990234375,7926.2001953125,7838.0,7890.10009765625,7890.10009765625,1267964100
2024-08-07,7890.10009765625,7950.2998046875,7852.89990234375,7913.10009765625,7913.10009765625,1408921500
2024-08-08,7913.10009765625,7913.10009765625,7855.2998046875,7886.5,7886.5,1123825600
2024-08-09,7886.5,8004.89990234375,7886.5,7990.7001953125,7990.7001953125,858851900
2024-08-12,7990.7001953125,8048.89990234375,7990.7001953125,8028.5,8028.5,804423200
2024-08-13,8028.5,8050.89990234375,8018.2001953125,8042.2001953125,8042.2001953125,1039887100
2024-08-14,8042.2001953125,8130.7001953125,8042.2001953125,8070.2001953125,8070.2001953125,1239680300
2024-08-15,8070.2001953125,8118.2998046875,8066.60009765625,8083.7998046875,8083.7998046875,1261524100
2024-08-16,8083.7998046875,8196.5,8083.7998046875,8189.89990234375,8189.89990234375,1523756000
2024-08-19,8189.89990234375,8207.2001953125,8167.7001953125,8194.7998046875,8194.7998046875,932145400
2024-08-20,8194.7998046875,8235.400390625,8194.7998046875,8207.599609375,8207.599609375,1058004800
2024-08-21,8207.599609375,8234.0,8168.60009765625,8234.0,8234.0,1168106800
2024-08-22,8234.0,8268.7001953125,8234.0,8258.099609375,8258.099609375,1098143300
2024-08-23,8258.099609375,8258.099609375,8218.7998046875,8249.099609375,8249.099609375,1067707500
