Ticker,Daily_Return
4DS.AX,0.007521166374801005
ACP.AX,0.004056341670806184
BB1.AX,0.004792022699859574
BTC.AX,0.005140349720070483
ELD.AX,0.001697501051529323
GRE.AX,0.010422957369544036
IDA.AX,0.0037623562631345195
IGNDA.AX,0.0019048155751691497
KBC.AX,0.0033246817419666412
LDX.AX,0.022162119295109757
NWSLV.AX,0.0017762731624061073
OEQ.AX,0.006233274535739533
PLT.AX,0.003519819690901316
SIG.AX,0.0022342266618208145
SS1.AX,0.023226235734591476
WTC.AX,0.0012498817996996997
WWI.AX,0.0031811875098442695
