Stock_Code,Start_Price,End_Price,Simple_Return,Log_Return
A3D.AX,0.0700000002980232,0.0750000029802322,0.07142860944173741,0.06899290696590568
ACP.AX,0.0219999998807907,0.0179999992251396,-0.18181821260570552,-0.2006707330913475
ATR.AX,0.7699999809265137,0.8199999928474426,0.06493508202528228,0.06291384145870009
BOL.AX,0.1500000059604644,0.1400000005960464,-0.06666669978035675,-0.06899290696590576
BRE.AX,3.259999990463257,2.8299999237060547,-0.13190186135433016,-0.1414505077570803
CBA.AX,121.2588577270508,135.38999938964844,0.11653698482304954,0.11023191743062305
CCO.AX,0.0130000002682209,0.0099999997764825,-0.23076926383394306,-0.26236430745161793
CE1.AX,0.0036999892909079,0.0089999996125698,1.432439368050546,0.8888946089916446
COV.AX,0.324999988079071,0.3799999952316284,0.16923079744598693,0.15634609452212994
DRO.AX,1.350000023841858,1.3650000095367432,0.011111100318500725,0.011049825512574631
DXN.AX,0.0469999983906745,0.0790000036358833,0.6808511987429787,0.5193003310217698
EGL.AX,0.3100000023841858,0.4099999964237213,0.32258062345304317,0.2795848458056088
EQT.AX,32.50704574584961,31.649999618530273,-0.02636493435976909,-0.02671872148222172
EVO.AX,0.7022467851638794,0.8149999976158142,0.16056066732384147,0.14890322224993116
FGG.AX,1.284863352775574,1.3600000143051147,0.05847832873996279,0.056832337826241384
FHE.AX,0.4699999988079071,0.2199999988079071,-0.5319148949661531,-0.7591051512339789
FPH.AX,28.58872985839844,32.11000061035156,0.12316989140105804,0.11615494784131832
FSF.AX,3.67913818359375,4.650000095367432,0.2638829702300967,0.23418870459496136
GDG.AX,2.331428527832031,2.8299999237060547,0.21384802918991466,0.1937955029150038
GMG.AX,34.70965576171875,36.9900016784668,0.06569773933808466,0.06362973894955609
GNC.AX,9.084481239318848,9.199999809265137,0.012716033739638238,0.012635863895562194
HMC.AX,7.415341377258301,8.199999809265137,0.10581555077332803,0.1005831177395509
HUB.AX,44.33357238769531,58.369998931884766,0.31660941783444535,0.27505980917389505
HYT.AX,0.0309999994933605,0.0540000014007091,0.7419355575239502,0.554996884361395
IFT.AX,10.25765800476074,11.40999984741211,0.11233966292467043,0.1064656014577305
JAT.AX,0.6650000214576721,0.7900000214576721,0.1879699187467716,0.17224589969964735
LTP.AX,0.6399999856948853,1.6649999618530271,1.601562498544808,0.9561122255014736
MFF.AX,3.574329853057861,3.839999914169311,0.07432723672219782,0.07169463936367015
MYS.AX,3.616915702819824,3.6700000762939458,0.014676696344550091,0.014570035984726845
NAB.AX,34.0603141784668,37.349998474121094,0.09658408546724627,0.09219997126828187
NGI.AX,2.072654724121094,1.7400000095367432,-0.16049692730438386,-0.1749451423216077
OIL.AX,0.135000005364418,0.1949999928474426,0.4444443340654771,0.36772470370910626
PGF.AX,2.252770185470581,2.2799999713897705,0.01208724533679028,0.012014777956440655
PME.AX,122.7422180175781,178.25,0.45223055994044814,0.3731006916349242
QUB.AX,3.64114785194397,3.950000047683716,0.08482275598197771,0.08141661510600685
RC1.AX,0.0260000005364418,0.0089999996125698,-0.6538461758892916,-1.0608720243654404
RPL.AX,3.300236225128174,3.609999895095825,0.09386105988689365,0.0897136940028198
SUM.AX,0.2549999952316284,0.2349999994039535,-0.07843135765358737,-0.08167801485113868
TNE.AX,18.03000068664551,23.86000061035156,0.3233499557226429,0.2801663669515789
URW.AX,6.650000095367432,6.400000095367432,-0.03759398442327192,-0.038318863741942544
VBC.AX,0.1400000005960464,0.135000005364418,-0.035714251502436,-0.03636760869192023
VGL.AX,2.069999933242798,2.440000057220459,0.1787440270097161,0.16444948772869689
WAA.AX,0.8803260922431946,0.8999999761581421,0.02234840485622287,0.0221023386340044
WCN.AX,0.0189999993890523,0.0199999995529651,0.05263158926673417,0.05129330419094794
BEN.AX,10.7765645980835,11.649999618530272,0.08104948590036785,0.07793231550047766
GDC.AX,2.065690755844116,3.2100000381469727,0.5539596278220503,0.44080627208549183
SNL.AX,22.74649238586425,30.5,0.34086607651886347,0.29331573094462615
WGB.AX,2.220262050628662,2.2899999618530273,0.031409765889850304,0.030926571166441496
GVF.AX,1.149843215942383,1.2100000381469729,0.05231741281813521,0.05099479201737907
QRI.AX,1.566253423690796,1.625,0.03750770815285486,0.03682140264003763
PSQ.AX,1.866890072822571,1.8049999475479128,-0.03315145662598434,-0.03371342105540901
PXA.AX,14.80000019073486,14.800000190734863,2.4004821844695524e-16,2.2204460492503128e-16
ALQ.AX,14.20440673828125,14.420000076293944,0.015177919217960988,0.015063887002188914
TCF.AX,5.024462223052979,5.880000114440918,0.1702745196217425,0.15723835344318104
DUI.AX,4.984550952911377,5.289999961853027,0.06127914266043237,0.05947491895936908
ANZ.AX,28.04658508300781,30.479999542236328,0.08676330654967396,0.08320383516392993
LSF.AX,3.117236852645874,3.130000114440918,0.004094415149817903,0.004086055841990986
LGI.AX,2.986071586608887,2.7899999618530273,-0.06566206437754137,-0.06791709075111264
PMC.AX,1.395209074020386,1.4249999523162842,0.021352268165841164,0.021127502365251922
PL8.AX,1.183017134666443,1.2400000095367432,0.04816741296512721,0.04704331833667743
VG1.AX,1.904999971389771,2.0399999618530273,0.07086613779042143,0.06846779559645717
KAT.AX,1.199979186058044,1.1699999570846558,-0.02498312414223667,-0.02530049956201655
FGX.AX,1.138499975204468,1.2699999809265137,0.11550286217479191,0.10930530070947309
TRA.AX,4.23835563659668,4.300000190734863,0.014544450589729892,0.014439694592210497
AMC.AX,14.99050140380859,16.34000015258789,0.09002358976707994,0.0861993379950147
